customer_id,mode,query,response,ai_cost,stt_cost,tts_cost,total_cost,input_tokens,output_tokens,audio_duration
sim_user_1,text,Does Volumizing Mascara contain vitamin C?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_1,text,Does Green Tea Face Mist contain alcohol?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_1,text,Is Berry Kiss Lipstick waterproof?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_1,text,Is Volumizing Mascara waterproof?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_1,text,How do I use Exfoliating Scrub?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_2,voice,Do you have any recommendations for oily skin?,Error: Groq API key missing or SDK not installed.,0.0,0.00038805,0.0,0.00038805,0,0,12.585251553345799
sim_user_2,voice,Can you tell me about the features of Deep Cleanse Charcoal Mask?,Error: Groq API key missing or SDK not installed.,0.0,0.0003098,0.0,0.0003098,0,0,10.047718473508265
sim_user_2,voice,Do you have any recommendations for normal skin?,Error: Groq API key missing or SDK not installed.,0.0,0.00028924,0.0,0.00028924,0,0,9.380734511547193
sim_user_2,voice,How do I use Daily Daily Moisturizer?,Error: Groq API key missing or SDK not installed.,0.0,0.00035979,0.0,0.00035979,0,0,11.668840957899887
sim_user_3,text,What are the main ingredients in Gentle Foam Cleanser?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_3,text,"I have sensitive skin, is Green Tea Face Mist suitable for me?",Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_3,text,"I have normal skin, is Volumizing Mascara suitable for me?",Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_3,text,What is the price of Gentle Foam Cleanser?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_3,text,I'm looking for something from Lira Luxe.,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_4,text,Does Rose Water Toner contain fragrance?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_4,text,I'm looking for something from PureBasics.,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_4,text,"I have combination skin, is Rose Water Toner suitable for me?",Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_4,text,What is the price of Night Repair Cream?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_5,text,What is the price of Matte Finish Foundation?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_5,text,I'm looking for something from EyeCatch.,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_5,text,Is Sunset Blush Palette good for dry skin?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_5,text,What is the price of Velvet Lip Liner?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_6,text,Does Tea Tree Spot Treatment contain fragrance?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_6,text,How do I use Deep Cleanse Charcoal Mask?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_6,text,What are the main ingredients in Glossy Shine Lip Gloss?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_6,text,Does Glossy Shine Lip Gloss contain alcohol?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_7,voice,How do I use Daily Daily Moisturizer?,Error: Groq API key missing or SDK not installed.,0.0,0.00033169,0.0,0.00033169,0,0,10.757541767042348
sim_user_7,voice,What is the price of Night Repair Cream?,Error: Groq API key missing or SDK not installed.,0.0,0.00030344,0.0,0.00030344,0,0,9.841269103343029
sim_user_7,voice,I'm looking for something from ColorPop.,Error: Groq API key missing or SDK not installed.,0.0,0.00039052,0.0,0.00039052,0,0,12.665496817955368
sim_user_7,voice,What is the price of Brow Sculpting Gel?,Error: Groq API key missing or SDK not installed.,0.0,0.00036732,0.0,0.00036732,0,0,11.912950943898696
sim_user_7,voice,Is Exfoliating Scrub waterproof?,Error: Groq API key missing or SDK not installed.,0.0,0.0004098,0.0,0.0004098,0,0,13.290919210859588
sim_user_8,voice,What are the main ingredients in Rose Water Toner?,Error: Groq API key missing or SDK not installed.,0.0,0.00019163,0.0,0.00019163,0,0,6.215058243282873
sim_user_8,voice,Does Matte Finish Foundation contain fragrance?,Error: Groq API key missing or SDK not installed.,0.0,0.0002609,0.0,0.0002609,0,0,8.461765855735564
sim_user_8,voice,What are the main ingredients in Berry Kiss Lipstick?,Error: Groq API key missing or SDK not installed.,0.0,0.00042457,0.0,0.00042457,0,0,13.769817745346009
sim_user_8,voice,Is Tea Tree Spot Treatment waterproof?,Error: Groq API key missing or SDK not installed.,0.0,0.00027041,0.0,0.00027041,0,0,8.770099203586815
sim_user_8,voice,What are the main ingredients in Soothing Aloe Gel?,Error: Groq API key missing or SDK not installed.,0.0,0.00026877,0.0,0.00026877,0,0,8.716966654498789
sim_user_9,text,Does Velvet Lip Liner contain retinol?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_9,text,Does Vitamin C Radiance Oil contain parabens?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_9,text,"I have oily skin, is Velvet Lip Liner suitable for me?",Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_9,text,Does Volumizing Mascara contain vitamin C?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_10,text,Is Brow Sculpting Gel good for mature skin?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_10,text,What are the main ingredients in Night Repair Cream?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_10,text,"I have mature skin, is Sunset Blush Palette suitable for me?",Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_10,text,What is the price of Rose Water Toner?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_10,text,Does Night Repair Cream contain aloe vera?,Error: Groq API key missing or SDK not installed.,0.0,0,0,0.0,0,0,0
sim_user_11,voice,I'm looking for something from NatureTouch.,Error: Groq API key missing or SDK not installed.,0.0,0.00040603,0.0,0.00040603,0,0,13.16845935968157
sim_user_11,voice,Can you tell me about the features of Volumizing Mascara?,Error: Groq API key missing or SDK not installed.,0.0,0.00031506,0.0,0.00031506,0,0,10.218074251098747
sim_user_11,voice,Is Sunset Blush Palette waterproof?,Error: Groq API key missing or SDK not installed.,0.0,0.00043871,0.0,0.00043871,0,0,14.228341342500025
sim_user_11,voice,I'm looking for something from EyeCatch.,Error: Groq API key missing or SDK not installed.,0.0,0.00022379,0.0,0.00022379,0,0,7.257967112276985
