[2026-02-03 21:02:45.561610] In: 1843 | Out: 56 | Cost: $0.00113161
[2026-02-03 21:07:52.354512] In: 1910 | Out: 88 | Cost: $0.00119642
[2026-02-03 21:08:12.352687] In: 1995 | Out: 83 | Cost: $0.00124262
[2026-02-03 21:29:16.927166] In: 2021 | Out: 67 | Cost: $0.00124532
[2026-02-03 21:52:06.139099] In: 1834 | Out: 50 | Cost: $0.00112156
[2026-02-03 21:52:12.905502] In: 1889 | Out: 56 | Cost: $0.00115875
[2026-02-03 21:52:17.494080] In: 1950 | Out: 72 | Cost: $0.00120738
[2026-02-03 21:56:29.686170] In: 1839 | Out: 62 | Cost: $0.00113399
[2026-02-03 21:56:37.889069] In: 1911 | Out: 53 | Cost: $0.00116936
[2026-02-03 21:56:50.205613] In: 1965 | Out: 84 | Cost: $0.00122571
[2026-02-03 22:02:21.288380] In: 1992 | Out: 74 | Cost: $0.00123374
[2026-02-03 22:05:46.203272] In: 1837 | Out: 64 | Cost: $0.00113439
[2026-02-03 22:07:23.024115] In: 1836 | Out: 38 | Cost: $0.00111326
[2026-02-03 22:07:36.727795] In: 1887 | Out: 69 | Cost: $0.00116784
[2026-02-03 22:14:34.976707] In: 1957 | Out: 78 | Cost: $0.00121625
[2026-02-03 22:14:47.483375] In: 1995 | Out: 55 | Cost: $0.00122050
[2026-02-03 22:14:50.645486] In: 1978 | Out: 53 | Cost: $0.00120889
[2026-02-03 22:14:58.584545] In: 1957 | Out: 77 | Cost: $0.00121546
[2026-02-03 22:21:09.575579] In: 1986 | Out: 74 | Cost: $0.00123020
[2026-02-03 22:21:41.594933] In: 2012 | Out: 95 | Cost: $0.00126213
[2026-02-03 22:28:01.872256] In: 1839 | Out: 41 | Cost: $0.00111740
[2026-02-03 22:28:19.874847] In: 1886 | Out: 49 | Cost: $0.00115145
[2026-02-03 22:29:57.049750] In: 1936 | Out: 63 | Cost: $0.00119201
[2026-02-03 22:32:29.344048] In: 1836 | Out: 60 | Cost: $0.00113064
[2026-02-03 22:37:59.522417] In: 1841 | Out: 49 | Cost: $0.00112490
[2026-02-03 22:46:44.590622] In: 1841 | Out: 46 | Cost: $0.00112253
[2026-02-04 01:17:46.613979] In: 1839 | Out: 64 | Cost: $0.00113557
[2026-02-04 01:23:18.460396] In: 1839 | Out: 44 | Cost: $0.00111977
[2026-02-04 01:23:25.335247] In: 1897 | Out: 51 | Cost: $0.00115952
[2026-02-04 01:23:52.136874] In: 1955 | Out: 83 | Cost: $0.00121902
[2026-02-04 01:24:11.352839] In: 1999 | Out: 83 | Cost: $0.00124498
[2026-02-04 15:46:12.600614] In: 1839 | Out: 30 | Cost: $0.00110871
[2026-02-04 15:46:53.688750] In: 1883 | Out: 52 | Cost: $0.00115205
[2026-02-04 15:47:45.503265] In: 1832 | Out: 33 | Cost: $0.00110695
[2026-02-04 15:48:05.201065] In: 1885 | Out: 44 | Cost: $0.00114691
[2026-02-04 15:59:43.714582] In: 1867 | Out: 53 | Cost: $0.00114340
[2026-02-04 15:59:57.035125] In: 1966 | Out: 65 | Cost: $0.00121129
[2026-02-04 16:00:13.438865] In: 1994 | Out: 59 | Cost: $0.00122307
[2026-02-04 16:07:41.693377] In: 1876 | Out: 120 | Cost: $0.00120164
[2026-02-04 16:08:04.882432] In: 2030 | Out: 120 | Cost: $0.00129250
[2026-02-04 16:52:24.118697] In: 1869 | Out: 180 | Cost: $0.00124491
[2026-02-04 16:52:34.308674] In: 2085 | Out: 180 | Cost: $0.00137235
[2026-02-04 16:53:34.764969] In: 1881 | Out: 180 | Cost: $0.00125199
[2026-02-04 17:02:13.460990] In: 1871 | Out: 154 | Cost: $0.00122555
[2026-02-04 17:02:21.331435] In: 2056 | Out: 220 | Cost: $0.00138684
[2026-02-04 17:12:19.242948] In: 1858 | Out: 220 | Cost: $0.00127002
[2026-02-04 17:13:06.670708] In: 1876 | Out: 220 | Cost: $0.00128064
[2026-02-04 17:22:57.318982] In: 1946 | Out: 214 | Cost: $0.00131720
[2026-02-04 17:23:15.610974] In: 2128 | Out: 151 | Cost: $0.00137481
[2026-02-04 17:29:39.310476] In: 1837 | Out: 27 | Cost: $0.00110516
[2026-02-04 17:30:00.103350] In: 1913 | Out: 220 | Cost: $0.00130247
[2026-02-04 17:41:01.395354] In: 1886 | Out: 73 | Cost: $0.00117041
[2026-02-04 17:45:01.169596] In: 1840 | Out: 52 | Cost: $0.00112668
[2026-02-04 17:45:13.323402] In: 1903 | Out: 53 | Cost: $0.00116464
[2026-02-04 17:45:41.809515] In: 2007 | Out: 191 | Cost: $0.00133502
[2026-02-04 21:11:10.632911] In: 2113 | Out: 160 | Cost: $0.00137307
[2026-02-04 21:12:54.491443] In: 2018 | Out: 72 | Cost: $0.00124750
[2026-02-04 21:21:50.479528] In: 2105 | Out: 200 | Cost: $0.00139995
[2026-02-04 21:22:44.521805] In: 2343 | Out: 188 | Cost: $0.00153089
